Id,LotArea,Neighborhood,OverallCond,YearBuilt,SalePrice
1,8450,CollgCr,5,2003,208500
2,9600,Veenker,8,1976,181500
3,11250,CollgCr,5,2001,223500
4,9550,Crawfor,5,1915,140000
5,14260,NoRidge,5,2000,250000
6,14115,Mitchel,5,1993,143000
7,10084,Somerst,5,2004,307000
8,10382,NWAmes,6,1973,200000
9,6120,OldTown,5,1931,129900
10,7420,BrkSide,6,1939,118000
11,11200,Sawyer,5,1965,129500
12,11924,NridgHt,5,2005,345000
13,12968,Sawyer,6,1962,144000
14,10652,CollgCr,5,2006,279500
15,10920,NAmes,5,1960,157000
16,6120,BrkSide,8,1929,132000
17,11241,NAmes,7,1970,149000
18,10791,Sawyer,5,1967,90000
19,13695,SawyerW,5,2004,159000
20,7560,NAmes,6,1958,139000
21,14215,NridgHt,5,2005,325300
22,7449,IDOTRR,7,1930,139400
23,9742,CollgCr,5,2002,230000
24,4224,MeadowV,7,1976,129900
25,8246,Sawyer,8,1968,154000
26,14230,NridgHt,5,2007,256300
27,7200,NAmes,7,1951,134800
28,11478,NridgHt,5,2007,306000
29,16321,NAmes,6,1957,207500
30,6324,BrkSide,6,1927,68500
31,8500,IDOTRR,4,1920,40000
32,8544,Sawyer,6,1966,149350
33,11049,CollgCr,5,2007,179900
34,10552,NAmes,5,1959,165500
35,7313,NridgHt,5,2005,277500
36,13418,NridgHt,5,2004,309000
37,10859,CollgCr,5,1994,145000
38,8532,NAmes,6,1954,153000
39,7922,NAmes,7,1953,109000
40,6040,Edwards,5,1955,82000
41,8658,NAmes,5,1965,160000
42,16905,Timber,6,1959,170000
43,9180,SawyerW,7,1983,144000
44,9200,CollgCr,6,1975,130250
45,7945,NAmes,6,1959,141000
46,7658,NridgHt,5,2005,319900
47,12822,Mitchel,5,2003,239686
48,11096,Somerst,5,2006,249700
49,4456,OldTown,5,1920,113000
50,7742,Sawyer,7,1966,127000
51,13869,Gilbert,6,1997,177000
52,6240,BrkSide,6,1934,114500
53,8472,IDOTRR,5,1963,110000
54,50271,Veenker,5,1981,385000
55,7134,NAmes,5,1955,130000
56,10175,NAmes,5,1964,180500
57,2645,Somerst,5,1999,172500
58,11645,CollgCr,5,2004,196500
59,13682,StoneBr,5,2006,438780
60,7200,CollgCr,7,1972,124900
61,13072,SawyerW,5,2004,158000
62,7200,IDOTRR,7,1920,101000
63,6442,NridgHt,5,2006,202500
64,10300,OldTown,6,1921,140000
65,9375,CollgCr,5,1997,219500
66,9591,NridgHt,5,2004,317000
67,19900,NAmes,5,1970,180000
68,10665,CollgCr,5,2003,226000
69,4608,OldTown,6,1945,80000
70,15593,ClearCr,4,1953,225000
71,13651,NAmes,6,1973,244000
72,7599,Mitchel,6,1982,129500
73,10141,Gilbert,5,1998,185000
74,10200,NAmes,7,1954,144900
75,5790,OldTown,6,1915,107400
76,1596,MeadowV,5,1973,91000
77,8475,NAmes,7,1956,135750
78,8635,BrkSide,5,1948,127000
79,10778,Sawyer,5,1968,136500
80,10440,OldTown,6,1910,110000
81,13000,NAmes,6,1968,193500
82,4500,Mitchel,5,1998,153500
83,10206,Somerst,5,2007,245000
84,8892,NAmes,5,1960,126500
85,8530,Gilbert,5,1995,168500
86,16059,NoRidge,5,1991,260000
87,11911,Gilbert,5,2005,174000
88,3951,Somerst,5,2009,164500
89,8470,IDOTRR,2,1915,85000
90,8070,CollgCr,5,1994,123600
91,7200,NAmes,5,1950,109900
92,8500,NAmes,3,1961,98600
93,13360,Crawfor,7,1921,163500
94,7200,OldTown,6,1910,133900
95,9337,CollgCr,5,1997,204750
96,9765,Gilbert,8,1993,185000
97,10264,CollgCr,5,1999,214000
98,10921,Edwards,5,1965,94750
99,10625,Edwards,5,1920,83000
100,9320,NAmes,5,1959,128950
101,10603,NWAmes,7,1977,205000
102,9206,SawyerW,5,1985,178000
103,7018,SawyerW,5,1979,118964
104,10402,CollgCr,5,2009,198900
105,7758,IDOTRR,4,1931,169500
106,9375,Somerst,5,2003,250000
107,10800,OldTown,7,1885,100000
108,6000,OldTown,5,1948,115000
109,8500,IDOTRR,7,1919,115000
110,11751,NWAmes,6,1977,190000
111,9525,Edwards,4,1954,136900
112,7750,Gilbert,5,2000,180000
113,9965,CollgCr,5,2007,383970
114,21000,Crawfor,5,1953,217000
115,7259,Crawfor,8,1945,259500
116,3230,Somerst,5,1999,176000
117,11616,Sawyer,5,1962,139000
118,8536,Edwards,5,2006,155000
119,12376,SawyerW,5,1990,320000
120,8461,CollgCr,5,2005,163990
121,21453,ClearCr,5,1969,180000
122,6060,IDOTRR,5,1939,100000
123,9464,NAmes,7,1958,136000
124,7892,SawyerW,5,1993,153900
125,17043,NWAmes,5,1979,181000
126,6780,IDOTRR,8,1935,84500
127,4928,NPkVill,5,1976,128000
128,4388,OldTown,7,1930,87000
129,7590,NAmes,5,1966,155000
130,8973,NAmes,7,1958,150000
131,14200,NAmes,6,1966,226000
132,12224,Gilbert,5,2000,244000
133,7388,NAmes,6,1959,150750
134,6853,Timber,5,2001,220000
135,10335,Sawyer,6,1968,180000
136,10400,NWAmes,6,1970,174000
137,10355,NAmes,5,1967,143000
138,11070,Mitchel,5,1988,171000
139,9066,CollgCr,5,1999,230000
140,15426,CollgCr,5,1997,231500
141,10500,NAmes,5,1971,115000
142,11645,CollgCr,5,2005,260000
143,8520,NAmes,4,1952,166000
144,10335,CollgCr,5,1999,204000
145,9100,Sawyer,5,1963,125000
146,2522,Edwards,5,2004,130000
147,6120,BrkSide,7,1931,105000
148,9505,Gilbert,5,2001,222500
149,7500,SawyerW,5,2004,141000
150,6240,BrkSide,4,1936,115000
151,10356,CollgCr,6,1975,122000
152,13891,NridgHt,5,2007,372402
153,14803,NWAmes,5,1971,190000
154,13500,ClearCr,7,1960,235000
155,11340,OldTown,5,1923,125000
156,9600,Edwards,5,1924,79000
157,7200,NAmes,7,1950,109500
158,12003,Timber,5,2009,269500
159,12552,Somerst,5,2004,254900
160,19378,Gilbert,5,2005,320000
161,11120,Veenker,6,1984,162500
162,13688,NridgHt,5,2003,412500
163,12182,NridgHt,5,2005,220000
164,5500,OldTown,6,1956,103200
165,5400,OldTown,7,1926,152000
166,10106,Edwards,7,1940,127500
167,10708,ClearCr,5,1955,190000
168,10562,NridgHt,5,2007,325624
169,8244,Gilbert,5,2004,183500
170,16669,Timber,6,1981,228000
171,12358,OldTown,6,1941,128500
172,31770,NAmes,5,1960,215000
173,5306,StoneBr,7,1987,239000
174,10197,NAmes,5,1961,163000
175,12416,Timber,5,1986,184000
176,12615,Edwards,7,1950,243000
